Lance_000;0,18;40,37;128,67
Lance_001;40,21;41,34;127,70
Lance_002;81,21;44,34;126,70
Lance_003;125,22;45,33;127,71
Lance_004;170,22;45,33;126,71
Lance_005;215,24;76,31;95,74
Lance_006;291,26;56,29;93,75
Lance_007;347,27;54,28;93,76
Lance_008;401,29;54,26;93,78
Lance_009;455,29;54,26;93,78
Lance_010;509,23;49,32;94,72
Lance_011;558,22;42,33;100,71
Lance_012;600,21;37,34;108,70
Lance_013;637,0;53,55;107,49
Lance_014;690,19;47,36;113,70
Lance_015;737,16;35,39;105,70
Lance_016;772,11;33,44;108,70
Lance_017;805,15;31,40;110,70
Lance_018;836,19;47,36;105,68
Lance_019;883,10;39,45;127,59
Lance_020;922,5;42,50;126,54
Lance_021;964,5;42,50;128,54
Lance_022;1006,11;45,44;129,60
Lance_023;1051,18;46,37;128,67
Lance_024;1097,19;46,36;128,68
Lance_025;1143,19;40,36;128,68
Lance_026;0,76;36,35;128,69
Lance_027;36,76;37,35;128,69
Lance_028;73,77;43,34;125,70
Lance_029;116,77;48,34;121,70
Lance_030;164,77;40,34;128,70
Lance_031;204,70;31,41;137,63
Lance_032;235,65;30,46;138,58
Lance_033;265,65;30,46;138,58
Lance_034;295,65;30,46;138,58
Lance_035;325,65;30,46;138,58
Lance_036;355,62;30,49;138,55
Lance_037;385,63;30,48;138,56
Lance_038;415,55;30,56;138,48
Lance_039;445,55;30,56;138,48
Lance_040;475,58;32,53;136,51
Lance_041;507,58;52,53;116,51
Lance_042;559,77;50,34;122,70
Lance_043;609,77;51,34;136,70
Lance_044;660,59;41,52;144,52
Lance_045;701,60;30,51;147,53
Lance_046;731,62;30,49;145,55
Lance_047;761,73;43,38;140,66
Lance_048;804,62;49,49;142,55
Lance_049;853,77;50,34;140,70
Lance_050;903,77;50,34;140,70
Lance_051;953,77;50,34;140,70
Lance_052;1003,77;49,34;141,70
Lance_053;1052,77;49,34;141,70
Lance_054;1101,77;49,34;141,70
Lance_055;1150,78;39,33;147,71
Lance_056;0,183;46,32;147,72
Lance_057;46,183;54,32;140,72
Lance_058;100,183;52,32;138,72
Lance_059;152,183;52,32;138,72
Lance_060;204,190;60,25;95,79
Lance_061;264,126;49,89;92,15
Lance_062;313,126;30,89;113,15
Lance_063;343,111;32,104;116,0
Lance_064;375,111;32,104;118,0
Lance_065;407,111;32,104;122,0
Lance_066;439,111;34,104;123,0
Lance_067;473,111;34,104;124,0
Lance_068;507,116;30,99;128,5
Lance_069;537,117;30,98;129,6
Lance_070;567,123;29,92;132,12
Lance_071;596,126;29,89;133,15
Lance_072;625,137;42,78;140,26
Lance_073;667,150;51,65;137,39
Lance_074;718,151;51,64;130,40
Lance_075;769,159;48,56;133,48
Lance_076;817,167;48,48;133,56
Lance_077;865,178;45,37;136,67
Lance_078;910,180;42,35;137,69
Lance_079;952,178;39,37;140,67
Lance_080;991,181;45,34;130,70
Lance_081;1036,180;36,35;128,69
Lance_082;1072,180;37,35;128,69
Lance_083;1109,180;47,35;128,69
Lance_084;0,215;48,35;128,69
Lance_085;48,215;45,35;128,69
Lance_086;93,215;44,35;128,69
Lance_093;137,215;50,35;129,69
Lance_094;187,216;35,34;145,69
Lance_095;222,221;63,29;80,75
Lance_096;285,222;62,28;80,76
Lance_097;347,224;63,26;80,78
Lance_098;410,224;63,26;80,78
Lance_099;473,217;50,33;87,71
