Sword_000;0,43;25,35;142,69
Sword_001;25,43;26,35;141,69
Sword_002;51,43;27,35;140,69
Sword_003;78,43;28,35;139,69
Sword_004;106,44;28,34;139,70
Sword_005;134,48;47,30;108,70
Sword_006;181,29;36,49;103,55
Sword_007;217,28;30,50;104,54
Sword_008;247,28;26,50;104,54
Sword_009;273,34;40,44;83,60
Sword_010;313,39;47,39;84,65
Sword_011;360,39;50,39;81,65
Sword_012;410,39;41,39;90,65
Sword_013;451,35;33,43;89,61
Sword_014;484,38;30,40;92,64
Sword_015;514,38;30,40;92,64
Sword_016;544,49;71,29;41,75
Sword_017;615,49;56,29;37,75
Sword_018;671,49;44,29;32,75
Sword_019;715,49;44,29;31,75
Sword_020;759,50;44,28;31,76
Sword_021;803,50;44,28;31,76
Sword_022;847,46;45,32;24,72
Sword_023;892,50;29,28;37,76
Sword_024;921,52;28,26;37,78
Sword_025;949,32;28,46;51,45
Sword_026;977,11;24,67;63,37
Sword_027;1001,9;32,69;70,35
Sword_028;1033,7;38,71;77,33
Sword_029;1071,7;38,71;80,33
Sword_030;1109,7;38,71;83,33
Sword_031;1147,0;35,78;94,26
Sword_032;0,119;35,74;97,30
Sword_033;35,122;25,71;113,33
Sword_034;60,121;22,72;122,32
Sword_035;82,123;22,70;124,34
Sword_036;104,128;23,65;130,39
Sword_037;127,136;32,57;132,47
Sword_038;159,142;27,51;133,53
Sword_039;186,144;27,49;134,55
Sword_040;213,150;30,43;140,61
Sword_041;243,151;30,42;140,62
Sword_042;273,160;30,33;140,71
Sword_043;303,165;30,28;140,76
Sword_044;333,161;24,32;143,72
Sword_045;357,158;37,35;134,69
Sword_046;394,158;46,35;125,69
Sword_047;440,158;73,35;112,69
Sword_048;513,158;76,35;111,69
Sword_049;589,158;83,35;108,69
Sword_050;672,158;42,35;129,69
Sword_051;714,158;79,35;112,69
Sword_052;793,158;30,35;141,69
Sword_053;823,158;67,35;124,69
Sword_054;890,158;71,35;122,69
Sword_055;961,159;71,34;122,70
Sword_057;1032,78;131,115;32,15
Sword_058;0,193;133,110;31,18
Sword_059;133,217;17,86;84,0
Sword_059_under;150,290;4,13;91,83
Sword_060;154,215;27,88;75,64
Sword_060_under;181,290;5,13;93,82
Sword_061;186,263;125,40;115,40
Sword_062;311,276;56,27;40,67
Sword_062_under;367,272;56,31;88,63
Sword_063;423,263;125,40;115,96
Sword_063_under;548,257;240,46;0,96
Sword_064;788,276;56,27;40,82
Sword_064_under;844,272;56,31;88,82
Sword_065;900,272;56,31;42,80
Sword_065_under;956,276;56,27;88,82
Sword_066;1012,258;125,45;115,53
Sword_066_under;0,361;240,46;0,52
Sword_067;240,380;56,27;88,56
Sword_067_under;296,376;56,31;42,54
Sword_068;352,364;33,43;140,61
Sword_069;385,367;30,40;143,64
Sword_070;415,367;30,40;143,64
Sword_071;445,383;94,24;88,84
Sword_071_under;539,395;36,12;57,84
Sword_072;575,381;56,26;20,69
Sword_073;631,402;22,5;101,99
Sword_074;653,303;23,104;108,0
Sword_075;676,303;22,104;118,0
Sword_076;698,303;22,104;120,0
Sword_077;720,303;22,104;125,0
Sword_078;742,312;22,95;127,9
Sword_079;764,328;22,79;128,25
Sword_083;786,372;25,35;142,69
Sword_084;811,372;20,35;142,69
